No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price,Change,Volume
336,AAPL,-4.24%,-6.54%,5.74%,-2.99%,0.15%,-12.98%,2.68%,1.92%,1.90,73.41M,1.07,154.84,0.20%,"34,235,236"
337,MAR,-2.15%,-2.96%,-14.21%,2.91%,14.56%,-7.79%,2.78%,2.20%,2.40,2.08M,0.73,155.01,1.73%,"661,425"
338,FFIV,-3.55%,-10.08%,-6.90%,-21.03%,-23.87%,-36.66%,2.36%,2.05%,2.70,505.36K,0.47,155.66,0.42%,"104,168"
339,PNC,-2.34%,-6.39%,-9.65%,-12.50%,-18.35%,-22.02%,2.22%,1.80%,2.50,1.84M,0.80,158.21,1.18%,"645,333"
340,TT,0.43%,1.41%,13.22%,8.29%,-21.72%,-22.53%,2.59%,2.06%,3.00,1.39M,0.44,158.32,1.15%,"265,962"
342,META,-0.40%,-5.13%,-18.38%,-15.43%,-57.86%,-52.86%,3.92%,3.23%,2.10,28.23M,0.61,158.64,0.06%,"7,548,715"
343,AIZ,-1.48%,2.17%,-13.39%,-5.70%,-6.87%,1.80%,2.02%,1.79%,1.80,435.86K,0.42,160.02,0.86%,"80,939"
344,GPC,0.15%,4.25%,12.70%,32.72%,28.82%,12.26%,1.64%,1.60%,2.80,839.30K,1.65,160.49,1.97%,"605,746"
345,NXPI,-3.09%,-11.51%,-10.70%,-5.29%,-24.53%,-29.43%,3.22%,3.20%,2.20,2.72M,0.32,162.68,1.20%,"378,552"
346,JNJ,0.11%,-4.63%,-7.49%,-5.24%,-6.78%,-4.61%,1.90%,1.48%,2.40,6.80M,0.63,163.40,0.13%,"1,874,285"
347,TRV,-2.10%,1.84%,-8.53%,-4.66%,1.70%,3.48%,1.92%,1.54%,2.80,1.16M,0.60,163.62,1.07%,"305,689"
348,MMC,-1.69%,-2.43%,2.27%,6.43%,1.30%,-7.05%,2.16%,1.53%,2.60,1.78M,0.44,163.77,1.36%,"345,923"
349,TXN,-2.88%,-11.50%,-2.78%,-1.09%,-14.10%,-13.46%,2.74%,2.34%,2.70,5.38M,0.79,166.13,1.86%,"1,861,252"
350,VMC,-2.85%,-4.42%,-1.39%,-3.39%,-8.82%,-20.80%,2.56%,2.00%,2.00,704.11K,0.43,167.03,1.59%,"133,712"
351,KEYS,-1.70%,-2.23%,11.53%,11.34%,-9.79%,-20.81%,2.20%,1.97%,2.00,855.30K,1.36,167.83,2.63%,"508,750"
352,ECL,-1.15%,-2.08%,-4.00%,2.84%,-27.59%,-30.50%,2.55%,2.00%,2.60,1.10M,1.17,167.97,3.03%,"565,313"
353,JBHT,-4.82%,-8.93%,-7.65%,-16.37%,-7.66%,-18.19%,2.93%,2.36%,2.10,704.13K,0.71,168.42,0.72%,"217,650"
354,BR,-3.43%,0.01%,15.49%,13.98%,-1.69%,-8.18%,2.41%,2.06%,2.90,480.50K,0.63,168.56,0.41%,"132,454"
355,MAA,-1.75%,-6.76%,-3.93%,-21.05%,-14.65%,-27.04%,2.45%,1.83%,2.40,585.71K,0.54,168.73,0.79%,"137,608"
356,TGT,3.08%,-1.53%,2.45%,-22.49%,-33.04%,-29.32%,2.80%,2.80%,2.10,4.81M,0.94,169.23,3.45%,"1,972,978"
357,CDNS,-4.01%,-10.04%,4.70%,11.58%,1.27%,-9.94%,2.72%,2.03%,2.00,1.58M,0.63,169.71,1.12%,"434,380"
358,CDW,-4.85%,-5.74%,-3.62%,2.38%,-16.44%,-17.29%,2.41%,2.16%,1.80,739.38K,0.41,170.83,0.86%,"132,998"
359,SBNY,-5.43%,-10.10%,-24.62%,-39.42%,-35.70%,-47.95%,3.29%,3.08%,1.60,869.10K,0.73,171.20,1.68%,"279,067"
360,CCI,-2.43%,-5.14%,-8.42%,-4.27%,-14.75%,-18.93%,2.43%,2.01%,2.40,1.51M,0.62,171.62,1.41%,"411,337"
362,SRE,-0.27%,5.03%,4.13%,9.81%,25.80%,26.87%,2.10%,1.49%,2.10,1.42M,0.75,172.25,2.63%,"464,577"
363,WM,-1.50%,0.20%,7.10%,8.54%,8.85%,1.35%,1.43%,1.32%,2.40,1.50M,1.08,172.35,1.89%,"709,331"
364,AAP,1.64%,-10.38%,-9.12%,-13.89%,-13.09%,-27.74%,2.40%,2.38%,2.20,765.81K,0.50,177.89,2.62%,"168,112"
365,CAT,-5.80%,-2.55%,-19.21%,-8.15%,-14.12%,-12.61%,2.64%,2.21%,2.50,2.93M,0.61,180.38,-0.15%,"785,193"
366,MTB,-2.47%,0.14%,0.65%,5.00%,28.83%,16.56%,2.05%,1.71%,2.20,971.58K,0.38,181.00,1.11%,"160,572"
367,AJG,-2.25%,1.34%,11.67%,17.05%,24.34%,6.62%,1.89%,1.54%,2.10,814.96K,0.94,183.74,1.57%,"335,945"
368,VRSN,-0.97%,-8.26%,2.55%,-15.15%,-17.23%,-28.18%,2.55%,2.11%,2.70,599.46K,1.01,185.51,1.77%,"264,394"
369,AVY,-1.32%,-5.05%,1.96%,15.73%,-18.69%,-15.26%,2.16%,1.78%,2.00,454.46K,0.49,185.69,1.18%,"97,150"
370,HON,-3.54%,-3.47%,-4.91%,1.89%,-18.72%,-10.99%,2.27%,1.60%,2.20,2.53M,0.48,187.74,1.16%,"532,274"
371,VRSK,-1.50%,-5.89%,7.08%,-0.43%,-8.97%,-18.38%,2.33%,1.81%,2.30,780.93K,0.38,189.33,1.41%,"129,519"
372,EFX,-2.45%,-11.80%,-6.06%,-13.98%,-32.66%,-36.00%,2.64%,2.11%,2.10,680.14K,0.33,189.86,1.32%,"98,739"
373,CB,-0.90%,2.76%,-10.23%,-4.27%,3.80%,-1.49%,1.90%,1.49%,-,1.70M,0.49,192.91,1.30%,"364,475"
374,UPS,-0.66%,-0.41%,4.73%,-2.59%,-0.70%,-8.58%,2.11%,1.78%,2.40,2.77M,1.07,193.79,-1.11%,"1,293,359"
375,TSCO,-1.10%,-0.70%,-5.55%,-17.34%,-5.41%,-21.19%,2.74%,2.29%,2.10,1.10M,0.94,194.08,3.21%,"452,843"
376,JKHY,-0.74%,-7.89%,4.31%,5.84%,10.62%,16.42%,2.23%,2.01%,2.80,473.62K,0.72,198.04,1.87%,"148,995"
377,LOW,-4.03%,-3.07%,-1.94%,-13.18%,-6.32%,-25.35%,2.47%,2.69%,2.00,3.66M,0.88,198.32,2.78%,"1,415,102"
378,CME,1.35%,-2.04%,-0.67%,-15.99%,2.86%,-13.32%,2.57%,2.18%,2.40,1.42M,0.68,198.36,0.17%,"420,639"
379,BIIB,-1.23%,-10.77%,-1.23%,-5.39%,-41.64%,-18.85%,2.66%,2.34%,2.40,941.87K,0.59,198.37,1.89%,"242,202"
380,V,-1.82%,-7.98%,-6.72%,4.16%,-11.76%,-8.34%,2.20%,1.95%,1.80,5.92M,0.56,198.67,0.02%,"1,454,309"
382,STE,-0.57%,-6.88%,-11.05%,-17.30%,-9.38%,-18.91%,1.87%,1.92%,1.70,486.76K,0.49,199.68,1.16%,"104,122"
383,ITW,0.51%,-6.27%,-5.10%,-4.35%,-13.56%,-19.96%,2.21%,1.84%,2.90,1.06M,0.82,200.14,1.31%,"380,576"
384,ADSK,-3.66%,-10.61%,-5.00%,-0.46%,-31.37%,-29.52%,3.42%,2.85%,1.90,1.48M,0.78,201.40,1.62%,"502,318"
385,ILMN,-4.36%,-10.17%,-11.29%,-36.45%,-56.95%,-47.16%,4.83%,4.82%,2.70,1.60M,0.82,202.21,0.59%,"570,287"
386,IEX,-1.89%,-5.19%,3.04%,6.66%,-9.72%,-14.98%,2.02%,1.60%,2.10,363.68K,0.94,202.49,0.78%,"150,223"
387,EXR,-1.39%,2.66%,15.64%,1.11%,4.52%,-10.70%,2.46%,1.93%,2.30,613.64K,0.39,203.26,0.39%,"103,838"
388,CRL,-1.70%,-10.39%,-18.31%,-24.88%,-55.48%,-46.88%,2.76%,3.17%,1.70,522.17K,0.56,204.18,2.01%,"127,316"
389,ISRG,-3.16%,-15.82%,-6.53%,-30.88%,-43.37%,-43.70%,2.91%,2.54%,2.10,1.98M,0.61,207.59,2.61%,"531,073"
390,SYK,-1.97%,-6.05%,-11.14%,-20.00%,-26.72%,-24.19%,2.34%,2.10%,2.30,1.42M,0.60,207.69,2.45%,"373,048"
391,WTW,-0.71%,-1.86%,-1.61%,-5.85%,-10.33%,-13.71%,1.97%,1.79%,-,650.63K,0.41,207.75,1.38%,"115,967"
392,AVB,0.70%,1.08%,3.15%,-15.31%,-11.05%,-18.00%,2.46%,1.99%,2.60,708.90K,0.51,208.65,0.73%,"157,564"
393,HCA,-1.65%,-5.69%,-2.01%,-22.75%,-20.65%,-21.88%,3.03%,2.37%,1.90,1.73M,0.78,209.38,4.32%,"590,359"
394,FLT,-4.24%,-7.76%,-15.52%,-4.60%,-20.19%,-6.61%,2.33%,2.25%,2.20,569.51K,0.33,210.14,0.53%,"81,373"
395,IQV,-3.92%,-10.68%,-5.04%,-3.23%,-20.35%,-25.69%,2.66%,2.22%,1.60,980.38K,0.61,211.70,0.97%,"259,555"
396,CMI,-4.00%,-3.45%,-0.10%,12.05%,-10.95%,-2.61%,2.21%,1.72%,2.40,887.15K,0.60,214.57,1.00%,"234,425"
397,SNA,-1.95%,-2.64%,-2.01%,6.35%,-4.31%,0.80%,1.98%,1.63%,2.70,289.22K,0.68,220.75,1.68%,"86,147"
398,NFLX,-2.75%,-3.70%,10.78%,-37.65%,-63.02%,-63.75%,4.86%,3.84%,2.70,9.64M,0.81,223.80,2.48%,"3,403,936"
399,GD,-3.92%,-1.84%,-2.33%,-9.20%,10.91%,7.71%,1.99%,1.72%,2.20,1.08M,0.38,225.97,0.63%,"180,960"
400,HSY,-2.26%,-1.92%,5.36%,4.39%,25.15%,15.13%,2.06%,1.49%,2.60,918.18K,0.74,226.12,1.52%,"297,944"
402,TFX,-0.10%,-11.52%,-21.88%,-36.16%,-44.36%,-32.51%,2.24%,2.30%,2.30,409.65K,0.52,228.03,2.86%,"92,865"
403,UNP,-1.91%,-0.28%,1.25%,-12.81%,6.08%,-9.51%,2.21%,1.71%,2.20,2.44M,1.15,228.57,0.26%,"1,229,686"
404,GNRC,-2.59%,-9.12%,-20.69%,-27.80%,-50.30%,-35.92%,5.51%,4.41%,1.60,948.58K,0.66,228.83,1.47%,"274,405"
405,NDSN,-2.65%,-2.59%,1.94%,3.63%,-6.59%,-11.64%,1.87%,1.93%,2.30,217.85K,0.51,229.33,1.68%,"48,804"
406,HII,-2.82%,0.66%,7.80%,4.73%,12.75%,22.67%,1.96%,1.88%,2.80,343.43K,0.78,230.90,0.79%,"117,791"
407,LH,-1.55%,-11.22%,-6.56%,-15.24%,-26.27%,-28.04%,1.96%,2.04%,1.70,673.14K,0.95,231.62,2.44%,"280,771"
408,LHX,-1.50%,-2.05%,-4.70%,-15.13%,-0.85%,7.75%,2.03%,2.08%,-,939.29K,0.81,232.14,1.03%,"333,366"
409,SHW,-2.41%,-3.67%,-16.96%,-6.00%,-25.71%,-35.15%,2.02%,2.30%,2.60,1.66M,0.87,234.86,2.84%,"628,422"
410,PXD,-6.13%,13.48%,-11.60%,6.65%,73.53%,40.62%,2.99%,3.08%,2.10,2.74M,0.77,236.34,-1.11%,"927,168"
411,ADP,-4.32%,-3.67%,8.49%,14.28%,14.83%,-3.42%,2.26%,1.66%,3.00,1.51M,1.13,238.59,0.19%,"748,096"
412,MKTX,0.04%,-8.19%,-13.80%,-31.47%,-48.95%,-41.02%,3.47%,2.76%,3.10,320.96K,0.94,239.70,-1.19%,"131,906"
413,ROK,0.14%,-5.54%,10.89%,-9.93%,-26.46%,-31.70%,2.56%,2.28%,2.70,910.46K,0.23,240.55,0.96%,"90,874"
414,NSC,-4.74%,-4.43%,-1.95%,-13.80%,-4.19%,-19.41%,2.36%,1.85%,2.40,1.19M,0.74,241.46,0.65%,"384,060"
415,DG,0.49%,-5.24%,3.16%,17.72%,7.80%,1.69%,1.92%,2.16%,2.10,1.65M,1.18,243.86,1.69%,"852,935"
416,AMGN,1.19%,-1.64%,-1.31%,3.35%,7.00%,7.67%,1.71%,1.52%,2.60,2.90M,0.44,244.30,0.86%,"558,758"
417,ALGN,-3.63%,-18.68%,-11.16%,-45.13%,-66.88%,-63.63%,4.34%,4.26%,2.10,918.47K,0.45,244.50,2.31%,"179,321"
418,EL,-5.27%,-9.08%,-7.35%,-6.72%,-27.99%,-33.51%,2.70%,2.69%,2.10,1.26M,0.94,244.91,-0.50%,"517,959"
419,ANSS,-3.94%,-15.49%,-6.82%,-21.12%,-34.51%,-39.85%,3.09%,2.33%,2.50,474.99K,0.48,245.67,1.83%,"99,039"
420,STZ,-2.28%,0.22%,-0.40%,14.98%,15.61%,-2.42%,2.06%,2.09%,2.00,995.81K,0.40,245.87,0.40%,"172,660"
422,APD,-5.57%,-6.27%,-4.38%,11.14%,-8.24%,-19.09%,2.14%,1.68%,2.50,1.09M,0.74,249.50,1.35%,"352,060"
423,MSFT,-4.52%,-10.48%,-5.77%,-9.20%,-15.90%,-24.70%,2.64%,1.89%,1.70,25.10M,0.71,255.69,0.96%,"7,818,321"
424,AMT,-2.13%,-6.62%,-4.93%,9.55%,-15.84%,-13.10%,2.65%,2.05%,2.00,1.64M,0.35,256.01,0.72%,"251,310"
425,BDX,-0.93%,-0.85%,-2.57%,-6.34%,0.28%,2.81%,1.58%,1.68%,2.40,939.13K,0.97,256.76,1.86%,"399,495"
426,MCD,-0.50%,-1.87%,2.55%,13.40%,6.52%,-5.10%,1.66%,1.38%,2.10,2.49M,1.13,258.35,1.56%,"1,230,798"
427,ABMD,2.69%,-9.47%,1.46%,-11.64%,-29.19%,-26.53%,3.25%,2.91%,2.50,265.78K,0.68,266.29,0.91%,"78,994"
428,ODFL,-2.78%,-10.28%,1.10%,-9.94%,-9.68%,-24.10%,3.51%,2.75%,2.70,825.14K,1.68,267.53,-1.64%,"604,840"
429,PH,-2.48%,-8.98%,-4.06%,-1.98%,-8.06%,-16.22%,2.53%,2.05%,2.00,762.92K,0.26,268.95,0.91%,"86,580"
430,ESS,-0.23%,-3.22%,-2.45%,-21.38%,-19.61%,-23.41%,2.00%,1.85%,2.50,420.87K,0.27,271.89,0.78%,"50,340"
431,ALB,-6.41%,12.06%,3.46%,54.98%,10.27%,14.09%,4.36%,3.82%,2.30,1.27M,0.89,272.35,2.12%,"497,505"
432,AMP,-0.98%,-0.21%,-2.11%,1.35%,-1.42%,-11.00%,2.48%,1.92%,2.20,585.56K,0.69,273.79,1.97%,"176,901"
433,DHR,-1.52%,-6.04%,3.31%,3.60%,-18.03%,-17.18%,2.56%,2.00%,1.90,2.10M,0.61,274.41,0.71%,"563,645"
434,BRK-B,-3.78%,-5.30%,-11.39%,-14.29%,-1.88%,-7.49%,2.20%,1.85%,2.80,4.09M,0.61,277.99,0.51%,"1,097,967"
435,RE,0.83%,7.33%,-3.85%,2.64%,6.92%,0.18%,1.79%,1.54%,-,230.72K,0.69,279.66,1.92%,"69,127"
436,TSLA,-3.65%,-4.77%,15.17%,2.32%,12.23%,-22.10%,4.47%,3.92%,2.40,83.29M,0.68,280.22,2.11%,"24,920,607"
437,LIN,-3.68%,-8.29%,-17.46%,2.20%,-11.64%,-20.06%,2.29%,1.70%,1.70,2.40M,0.48,281.63,1.69%,"501,705"
438,ACN,-3.96%,-8.37%,-6.98%,-7.07%,-17.44%,-31.62%,2.59%,1.84%,-,2.04M,0.96,283.74,0.10%,"857,711"
439,VRTX,-0.86%,-3.07%,4.17%,18.53%,40.96%,27.13%,2.62%,2.67%,2.10,1.49M,0.52,283.80,1.65%,"336,120"
440,AON,-0.59%,-2.19%,3.44%,-2.48%,-3.50%,-6.43%,2.20%,1.76%,2.90,847.28K,0.45,285.38,1.48%,"166,465"
442,CI,-0.68%,1.24%,10.43%,19.93%,31.50%,24.22%,1.85%,1.71%,2.10,1.92M,0.53,290.48,1.83%,"444,603"
443,ZBRA,-5.84%,-12.59%,-13.56%,-24.03%,-50.91%,-51.29%,4.27%,3.12%,2.20,393.15K,0.76,292.39,0.85%,"130,317"
444,IT,-0.16%,-1.70%,8.73%,12.78%,-7.32%,-13.13%,2.72%,2.13%,2.10,439.34K,0.31,292.66,0.77%,"59,642"
445,WST,-3.50%,-14.84%,-5.83%,-21.96%,-37.34%,-37.95%,2.56%,2.24%,2.10,389.38K,0.44,293.22,0.76%,"74,533"
446,URI,-3.04%,-9.69%,-4.94%,-2.07%,-16.87%,-12.10%,3.24%,2.58%,2.20,741.25K,0.48,293.64,0.54%,"155,543"
447,HD,-2.29%,-6.51%,-4.72%,-10.30%,-12.35%,-30.23%,2.30%,2.28%,2.10,3.55M,0.50,294.09,1.57%,"775,083"
448,WAT,-1.42%,-11.83%,-11.65%,-5.52%,-29.64%,-20.05%,2.53%,2.46%,2.80,358.54K,0.32,300.19,0.77%,"50,837"
449,SEDG,-0.39%,-11.77%,-9.29%,-6.55%,-2.60%,-0.78%,4.75%,4.64%,2.00,986.89K,2.00,301.53,8.32%,"864,177"
450,COO,1.68%,-10.50%,-14.05%,-26.18%,-35.04%,-29.30%,3.21%,2.47%,2.20,309.68K,0.96,304.12,2.68%,"130,410"
451,LLY,-1.07%,1.83%,1.14%,17.27%,18.22%,11.08%,2.89%,2.37%,2.00,2.67M,0.80,310.90,1.33%,"933,388"
452,ENPH,2.81%,-2.69%,41.48%,84.38%,68.35%,60.06%,5.76%,4.90%,2.00,3.19M,2.74,311.49,6.38%,"3,825,851"
453,MA,-1.60%,-9.35%,-10.01%,3.57%,-4.75%,-9.81%,2.25%,1.98%,1.80,2.69M,0.57,323.28,-0.25%,"669,147"
454,SBAC,-3.58%,-7.48%,-4.23%,-3.71%,-12.80%,-17.85%,2.56%,2.23%,2.20,576.34K,0.53,324.24,1.46%,"132,607"
455,TECH,-1.30%,-14.08%,-9.46%,-18.01%,-35.87%,-36.40%,2.19%,2.67%,1.90,217.97K,0.93,327.81,-0.37%,"88,928"
456,SNPS,-5.95%,-12.68%,-0.60%,10.62%,-2.91%,-11.31%,3.19%,2.42%,1.80,976.43K,0.59,328.50,0.51%,"251,904"
457,GS,-2.23%,-2.44%,1.87%,1.43%,-20.62%,-14.65%,2.41%,1.84%,2.20,2.38M,0.43,328.89,0.73%,"443,254"
458,KLAC,-6.45%,-16.47%,-8.80%,5.23%,-3.27%,-23.14%,3.32%,3.21%,2.00,1.43M,0.71,336.28,1.72%,"447,109"
459,PSA,-0.38%,2.47%,9.50%,-6.11%,6.77%,-5.71%,2.61%,1.88%,2.00,690.17K,0.70,339.42,0.01%,"211,104"
460,POOL,-2.54%,-10.22%,-18.50%,-25.71%,-32.49%,-40.73%,3.02%,3.05%,2.20,419.76K,0.39,342.05,1.96%,"72,185"
462,MLM,-4.14%,-4.60%,-2.36%,-5.68%,-9.32%,-22.92%,2.79%,2.16%,2.10,425.78K,0.36,345.53,1.76%,"66,414"
463,IDXX,-2.10%,-16.20%,-8.19%,-33.94%,-50.35%,-48.10%,3.03%,3.16%,2.30,576.64K,0.47,349.59,2.30%,"118,395"
464,PAYC,-1.50%,-6.51%,14.54%,14.79%,-30.29%,-16.68%,2.91%,2.70%,2.10,387.91K,0.32,349.80,1.12%,"54,358"
465,SPGI,-1.17%,-5.27%,5.36%,-7.48%,-21.08%,-24.40%,2.57%,2.00%,1.80,1.92M,0.51,359.62,0.79%,"431,742"
466,DPZ,-4.16%,-6.49%,-3.84%,-9.32%,-29.49%,-35.72%,2.40%,2.31%,2.50,552.37K,0.62,361.96,-0.22%,"150,917"
467,MCK,-0.61%,4.07%,13.58%,29.59%,74.91%,45.15%,2.18%,1.99%,1.90,1.04M,0.50,363.61,0.78%,"228,618"
468,DE,-5.14%,5.17%,-0.51%,-2.15%,-7.26%,5.30%,2.56%,2.56%,2.20,1.57M,0.49,364.56,0.97%,"339,538"
469,TYL,-3.29%,-13.21%,2.01%,-10.94%,-25.51%,-32.41%,2.51%,2.11%,1.90,212.57K,0.45,369.28,1.56%,"41,916"
470,TDY,-2.92%,-8.09%,-9.84%,-15.70%,-18.29%,-16.06%,2.08%,1.88%,2.10,247.37K,0.65,372.14,1.48%,"70,714"
471,ADBE,-1.85%,-15.03%,-14.24%,-15.91%,-44.75%,-35.05%,2.93%,2.48%,1.90,2.65M,0.66,374.62,1.72%,"763,634"
472,SIVB,-5.23%,-7.16%,-20.61%,-22.40%,-32.87%,-43.44%,4.00%,3.42%,2.00,547.15K,0.38,391.18,1.97%,"91,484"
473,ROP,-2.99%,-8.10%,-6.65%,-10.84%,-18.37%,-19.30%,2.17%,1.80%,2.30,504.57K,0.52,402.15,1.32%,"114,352"
474,CHTR,-5.09%,-14.25%,-18.10%,-28.55%,-51.07%,-39.11%,3.19%,2.98%,2.50,1.23M,0.88,402.50,1.39%,"471,613"
475,EPAM,-1.24%,-3.87%,23.71%,135.03%,-36.15%,-38.54%,3.71%,3.33%,1.60,484.05K,0.34,413.57,0.67%,"72,440"
476,LMT,-2.77%,-2.02%,-5.78%,-10.38%,17.35%,17.55%,1.55%,1.67%,2.50,1.19M,1.22,418.09,0.07%,"638,628"
477,MPWR,-9.28%,-21.31%,-10.13%,9.80%,-16.58%,-15.09%,4.92%,3.73%,1.80,496.12K,0.59,422.55,0.87%,"128,958"
478,CTAS,-0.56%,-2.35%,4.08%,11.49%,4.32%,-6.66%,2.04%,1.51%,2.20,431.79K,0.92,422.89,2.23%,"172,851"
479,LRCX,-4.00%,-17.93%,-17.34%,-12.75%,-30.12%,-40.66%,3.25%,3.69%,2.10,1.41M,0.68,429.01,0.53%,"419,382"
480,INTU,-4.13%,-10.71%,2.39%,-4.26%,-25.65%,-34.90%,3.06%,2.57%,1.70,1.58M,0.77,429.98,2.68%,"529,316"
482,NOW,-1.22%,-13.01%,-12.60%,-17.16%,-36.57%,-33.68%,3.34%,2.89%,1.70,1.61M,0.36,438.64,1.90%,"250,874"
483,FDS,-1.12%,3.09%,15.50%,5.70%,13.08%,-10.21%,2.36%,1.82%,3.10,234.43K,0.40,441.05,1.07%,"41,154"
484,MSCI,0.37%,-7.76%,4.34%,-2.08%,-29.67%,-25.30%,2.75%,2.30%,2.40,419.42K,0.61,464.91,1.58%,"112,405"
485,ELV,-2.36%,0.39%,-4.11%,4.94%,25.95%,2.90%,2.21%,2.07%,2.00,947.71K,0.65,481.00,0.84%,"268,394"
486,HUM,-1.77%,-0.93%,7.98%,12.35%,15.39%,3.38%,1.74%,1.71%,2.00,793.23K,0.73,481.55,0.42%,"254,938"
487,NOC,-1.25%,0.45%,0.18%,0.37%,31.10%,23.94%,1.61%,1.82%,2.40,730.82K,0.54,482.87,0.65%,"173,393"
488,BIO,-2.13%,-11.44%,-10.67%,-13.13%,-41.70%,-36.75%,2.71%,2.77%,1.50,146.91K,0.40,484.61,1.40%,"25,784"
489,AVGO,-3.11%,-9.65%,-11.23%,-12.70%,0.10%,-25.13%,3.14%,2.69%,1.90,2.02M,0.70,502.85,0.93%,"615,629"
490,UNH,-2.28%,-3.25%,5.61%,6.33%,22.42%,3.09%,2.05%,1.71%,1.80,3.00M,0.50,520.03,0.45%,"652,536"
491,COST,-2.29%,-4.03%,9.83%,-1.82%,12.18%,-8.60%,2.42%,2.02%,2.10,2.18M,0.57,523.49,0.89%,"540,457"
492,TMO,-2.07%,-7.64%,-1.40%,1.94%,-4.04%,-18.30%,2.22%,1.76%,1.90,1.16M,0.90,548.53,0.62%,"455,929"
493,GWW,-0.72%,0.97%,12.57%,14.35%,30.66%,8.33%,1.88%,1.65%,2.50,297.99K,0.69,566.26,0.87%,"89,372"
494,REGN,-3.17%,-6.46%,-5.76%,-7.21%,-15.54%,-9.11%,3.30%,2.50%,2.40,598.07K,0.89,589.49,2.70%,"232,667"
495,TDG,-3.44%,-3.10%,-0.94%,4.48%,2.69%,-2.79%,2.70%,2.16%,2.10,291.54K,0.38,605.38,0.66%,"48,401"
496,EQIX,-4.17%,-9.41%,-8.74%,-10.13%,-28.43%,-25.30%,2.49%,2.21%,2.00,461.06K,0.44,638.41,1.04%,"89,290"
497,BLK,-2.11%,-4.93%,-2.03%,-2.28%,-29.41%,-27.73%,2.74%,2.29%,1.90,690.09K,0.48,668.59,1.05%,"144,506"
498,ORLY,0.39%,-0.21%,10.93%,7.13%,20.99%,0.18%,1.58%,1.71%,2.10,482.46K,0.76,721.51,1.98%,"159,668"
499,MTD,-0.78%,-9.28%,-6.24%,-8.71%,-22.38%,-27.96%,2.17%,2.16%,2.90,117.58K,0.35,1234.01,0.92%,"17,741"
500,CMG,-0.27%,2.11%,18.72%,23.46%,-14.87%,-6.50%,2.84%,2.22%,1.90,242.89K,0.53,1652.39,1.09%,"56,732"
502,AZO,-1.68%,-2.93%,1.51%,14.54%,38.62%,1.64%,1.70%,1.87%,2.10,153.43K,0.83,2179.00,2.26%,"55,966"
503,NVR,-4.11%,-7.33%,-8.57%,-14.17%,-20.79%,-31.63%,2.73%,2.75%,2.70,18.71K,0.88,4087.33,1.17%,"7,195"
